"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","MonthlyAverageWindSpeed","CoolingDegreeDaysSeasonToDate","MonthlyCoolingDegreeDays","MonthlyNumberDaysWithSnowfall","HeatingDegreeDaysSeasonToDate","MonthlyHeatingDegreeDays","MonthlyNumberDaysWithThunderstorms","MonthlyNumberDaysWithHeavyFog","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"AAI0000TNCA","2023-01-01T00:00:00","","","","","FM-15","223","1013.0","23.0","26.0","","||01","0.7","3","84.0","FEW:02 5.18 SCT:03 30.0","1013.7","1013.3","9.999","24.2","70.0","","6.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET057METAR TNCA 010000Z 07012KT 9999 FEW017 26/23 Q1013 NOSIG=","","","","","","","","","",""
"AAI0000TNCA","2023-01-01T01:00:00","","","","","FM-15","223","1014.0","24.0","26.0","","","","","89.0","SCT:04 5.18","","","9.999","","70.0","","6.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET057METAR TNCA 010100Z 07012KT 9999 SCT017 26/24 Q1014 NOSIG=","","","","","","","","","",""
"AAI0000TNCA","2023-01-01T02:00:00","","","","","FM-15","223","1014.0","23.0","26.0","","","","","84.0","FEW:02 5.18","","","9.999","","80.0","","7.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET057METAR TNCA 010200Z 08014KT 9999 FEW017 26/23 Q1014 NOSIG=","","","","","","","","","",""
"AAI0000TNCA","2023-01-01T03:00:00","","","","","FM-15","223","1015.0","23.0","26.0","","","1.3","3","84.0","FEW:02 5.18","1015.0","","9.999","","80.0","","6.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET057METAR TNCA 010300Z 08012KT 9999 FEW017 26/23 Q1015 NOSIG=","","","","","","","","","",""
"AAI0000TNCA","2023-01-01T04:00:00","","","","","FM-15","223","1015.0","23.0","26.0","","","","","84.0","FEW:02 5.18","","","9.999","","80.0","","5.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET057METAR TNCA 010400Z 08011KT 9999 FEW017 26/23 Q1015 NOSIG=","","","","","","","","","",""
"AAI0000TNCA","2023-01-01T05:00:00","","","","","FM-15","223","1014.0","23.0","26.0","","","","","84.0","FEW:02 5.18","","","9.999","","90.0","","5.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET057METAR TNCA 010500Z 09011KT 9999 FEW017 26/23 Q1014 NOSIG=","","","","","","","","","",""
"AAI0000TNCA","2023-01-01T06:00:00","","","","","FM-15","223","1014.0","22.0","26.0","","||16","-1.2","7","79.0","SCT:04 5.18","1013.8","1013.4","9.999","23.3","90.0","","6.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET062METAR TNCA 010600Z 09012KT 9999 VCSH SCT017 26/22 Q1014 NOSIG=","","","","","","","","","",""
"AAI0000TNCA","2023-01-01T07:00:00","","","","","FM-15","223","1014.0","22.0","26.0","","||16","","","79.0","SCT:04 5.18","","","9.999","","90.0","","5.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET062METAR TNCA 010700Z 09011KT 9999 VCSH SCT017 26/22 Q1014 NOSIG=","","","","","","","","","",""
"AAI0000TNCA","2023-01-01T08:00:00","","","","","FM-15","223","1014.0","22.0","26.0","","","","","79.0","FEW:02 5.18","","","9.999","","80.0","","5.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET057METAR TNCA 010800Z 08010KT 9999 FEW017 26/22 Q1014 NOSIG=","","","","","","","","","",""
"AAI0000TNCA","2023-01-01T09:00:00","","","","","FM-15","223","1013.0","22.0","26.0","","","-0.8","5","79.0","FEW:02 5.18","1013.0","","9.999","","90.0","","5.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET057METAR TNCA 010900Z 09011KT 9999 FEW017 26/22 Q1013 NOSIG=","","","","","","","","","",""
