flight_id,airline,origin_airport,dest_airport,flight_date,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,departure_delay_min,arrival_delay_min,delay_cause
OO000_GEG_20222,SkyWest Airlines Inc.,GEG,XXX,2022-02-03,2022-02-03T17:38:00,2022-02-03T17:52:00,2022-02-03T19:38:00,2022-02-03T19:48:00,14,10,WEATHER
OO001_GEG_20222,SkyWest Airlines Inc.,GEG,XXX,2022-02-12,2022-02-12T12:57:00,2022-02-12T12:00:00,2022-02-12T14:57:00,2022-02-12T14:01:00,3,4,WEATHER
OO002_GEG_20222,SkyWest Airlines Inc.,GEG,XXX,2022-02-23,2022-02-23T10:29:00,2022-02-23T10:39:00,2022-02-23T12:29:00,2022-02-23T12:39:00,10,10,CARRIER
OO003_GEG_20222,SkyWest Airlines Inc.,GEG,XXX,2022-02-11,2022-02-11T12:26:00,2022-02-11T12:26:00,2022-02-11T14:26:00,2022-02-11T14:26:00,-5,-6,WEATHER
OO004_GEG_20222,SkyWest Airlines Inc.,GEG,XXX,2022-02-24,2022-02-24T19:16:00,2022-02-24T19:16:00,2022-02-24T21:16:00,2022-02-24T21:17:00,-2,1,LATE_AIRCRAFT
OO005_GEG_20222,SkyWest Airlines Inc.,GEG,XXX,2022-02-18,2022-02-18T10:52:00,2022-02-18T10:52:00,2022-02-18T12:52:00,2022-02-18T12:52:00,-3,-2,CARRIER
OO006_GEG_20222,SkyWest Airlines Inc.,GEG,XXX,2022-02-14,2022-02-14T01:32:00,2022-02-14T01:49:00,2022-02-14T03:32:00,2022-02-14T03:39:00,17,7,LATE_AIRCRAFT
OO007_GEG_20222,SkyWest Airlines Inc.,GEG,XXX,2022-02-05,2022-02-05T09:19:00,2022-02-05T09:19:00,2022-02-05T11:19:00,2022-02-05T11:19:00,-3,-6,WEATHER
OO008_GEG_20222,SkyWest Airlines Inc.,GEG,XXX,2022-02-13,2022-02-13T02:40:00,2022-02-13T02:40:00,2022-02-13T04:40:00,2022-02-13T04:40:00,-3,-6,CARRIER
OO009_GEG_20222,SkyWest Airlines Inc.,GEG,XXX,2022-02-13,2022-02-13T03:49:00,2022-02-13T03:49:00,2022-02-13T05:49:00,2022-02-13T05:49:00,-7,-9,LATE_AIRCRAFT
OO010_GEG_20222,SkyWest Airlines Inc.,GEG,XXX,2022-02-12,2022-02-12T18:49:00,2022-02-12T18:58:00,2022-02-12T20:49:00,2022-02-12T20:54:00,9,5,WEATHER
OO011_GEG_20222,SkyWest Airlines Inc.,GEG,XXX,2022-02-11,2022-02-11T19:11:00,2022-02-11T19:15:00,2022-02-11T21:11:00,2022-02-11T21:14:00,4,3,CARRIER
OO012_GEG_20222,SkyWest Airlines Inc.,GEG,XXX,2022-02-13,2022-02-13T16:16:00,2022-02-13T16:16:00,2022-02-13T18:16:00,2022-02-13T18:16:00,-5,-2,WEATHER
OO013_GEG_20222,SkyWest Airlines Inc.,GEG,XXX,2022-02-22,2022-02-22T05:06:00,2022-02-22T05:06:00,2022-02-22T07:06:00,2022-02-22T07:06:00,-2,-6,CARRIER
OO014_GEG_20222,SkyWest Airlines Inc.,GEG,XXX,2022-02-03,2022-02-03T17:33:00,2022-02-03T17:44:00,2022-02-03T19:33:00,2022-02-03T19:41:00,11,8,WEATHER
OO015_GEG_20222,SkyWest Airlines Inc.,GEG,XXX,2022-02-18,2022-02-18T13:01:00,2022-02-18T13:03:00,2022-02-18T15:01:00,2022-02-18T15:01:00,2,-2,CARRIER
OO016_GEG_20222,SkyWest Airlines Inc.,GEG,XXX,2022-02-27,2022-02-27T19:02:00,2022-02-27T19:02:00,2022-02-27T21:02:00,2022-02-27T21:02:00,-5,-7,WEATHER
OO017_GEG_20222,SkyWest Airlines Inc.,GEG,XXX,2022-02-07,2022-02-07T09:39:00,2022-02-07T09:39:00,2022-02-07T11:39:00,2022-02-07T11:39:00,-2,-2,CARRIER
OO018_GEG_20222,SkyWest Airlines Inc.,GEG,XXX,2022-02-12,2022-02-12T09:24:00,2022-02-12T09:24:00,2022-02-12T11:24:00,2022-02-12T11:24:00,-5,-4,WEATHER
OO019_GEG_20222,SkyWest Airlines Inc.,GEG,XXX,2022-02-22,2022-02-22T17:42:00,2022-02-22T17:47:00,2022-02-22T19:42:00,2022-02-22T19:49:00,5,7,CARRIER
OO020_GEG_20222,SkyWest Airlines Inc.,GEG,XXX,2022-02-26,2022-02-26T03:29:00,2022-02-26T03:38:00,2022-02-26T05:29:00,2022-02-26T05:38:00,9,9,WEATHER
